ICAO AC_TYPE
020108   A320
4cabbd   B738
4cacaa   B738
a11ba0   B78X
424430   B738
502ce3   BCS3
4402ac   A320
440833   A320
4402f2   A320
44039e   A319
4408c9   A320
89907c   B789
440049   A321
4404e8   C25C
4401d2   F900
0101cf   B738
4bb84d   A20N
44059e   C56X
503dc0   A320
346091   A20N
51006d   E75S
502ce8   BCS3
49d368   B738
440202   A320
440478   A319
4b1a22   A320
47c9b5   B789
4bb866   A20N
4cac9f   CRJ9
4d212d   GLEX
452087   A320
424360   A321
3c08c9   FA7X
4d21db   A20N
4403e8   LJ75
502d10   BCS3
4403bf   A320
4408a2   A320
89907b   B789
4405fb   A320
440045   A321
4402bc   A320
3c6917   E190
74073a   A319
4409ae   B734
885222   B788
4bb14c   B77L
42443e   B738
344283   A320
345646   A320
345644   A20N
471ee0   A320
440589	 A319
a82520   B752
4cafb5   B738
4caca9   B738
48c226   B738
48c228   B738
a05628   B78X
346111   A20N
c079ce   B789
4242f7   B744
440085   EC35
4d21d4   B738
44046d   A320
4b1a25   A320
0101e4   B737
3420cb   A320
acd8f4   GLF4
424481   A319
503dc2   A320
495149   A21N
4d21bc   GL5T
8964a2   B77W
34620c   A20N
471f93   A320
424431   B738
4d21a0   CRJ2
452037   A320
732542   A332
4b8e45   B738
495303   A21N
34608f   A20N
4ac9c3   B763
440380   A320
040142   B789
461fa8   A321
4bb856   A20N
345642   A320
44008c   GLF5
89916b   A359
44064a   A319
440c96   A320
440179   A319
040140   B789
4401d7   GLEX
440144   GLEX
48ada7   E195
020124   A320
452075   B734
45d994   PC12
49118d   F2TH
4bcdee   B738
4bb1e9   A332
8964a4   B77W
471efc   A321
4010db   A321
502ce7   BCS3
4cacc3   B738
4b1804   BCS3
4b17fe   BCS3
c079d5   B789
4ac9c2   B38M
502c68   DH8D
4aca81   B38M
479946   B38M
47c8ca   B789
47c5c4   B38M
4b17fb   BCS3
440175   A320
4a927a   RJ1H
4ab569   AT76
4bb067   B38M
acb94b   FA7X
4ac9e9   A20N
4b1808   BCS3
400938   A319
440326   A320
3cdd21   E55P
4cacdc   B738
4cafd3   B738
502d0f   BCS3
780aab   A359
3c56a8   A320
4ca736   B738
